,0,y
0,62.0,-9.0
1,133.0,5.730789937436683e-14
2,215.0,-1.984206355905177e-13
3,123.0,-8.377141188740826e-14
4,57.0,7.937382506193637e-14
5,290.0,-9.0
6,195.0,-2.513476606166005e-13
7,260.0,9.0
8,8.0,9.0
9,80.0,9.0
10,151.0,-1.6315080777507392e-13
11,20.0,9.0
12,298.0,-9.0
13,71.0,8.834169431048827e-15
14,112.0,9.0
15,64.0,9.0
16,32.0,9.0
17,70.0,-9.0
18,90.0,-9.0
19,190.0,-9.0
20,84.0,9.0
21,109.0,1.7197940638039346e-13
22,2.0,-9.0
23,110.0,-9.0
24,160.0,9.0
25,49.0,7.49650965850059e-14
26,179.0,1.326518121089648e-14
27,88.0,9.0
28,190.0,-9.0
29,8.0,9.0
30,266.0,-9.0
31,5.0,2.7554552980815448e-15
32,38.0,-9.0
33,233.0,4.846815911758871e-14
34,14.0,-9.0
35,213.0,1.0139518414367154e-13
36,291.0,-3.042524023397662e-13
37,262.0,-9.0
38,213.0,1.0139518414367154e-13
39,288.0,9.0
40,129.0,1.190523813543106e-13
41,262.0,-9.0
42,107.0,-7.495395493354732e-14
43,279.0,-2.3369046340596144e-13
44,45.0,8.811886128131646e-15
45,282.0,-9.0
46,250.0,-9.0
47,254.0,-9.0
48,37.0,4.403157651201176e-15
49,179.0,1.326518121089648e-14
50,5.0,2.7554552980815448e-15
51,216.0,9.0
52,2.0,-9.0
53,25.0,-2.209935064194531e-15
54,68.0,9.0
55,263.0,3.0922378421535546e-14
56,109.0,1.7197940638039346e-13
57,162.0,-9.0
58,170.0,-9.0
59,68.0,9.0
60,172.0,9.0
61,198.0,-9.0
62,89.0,-3.0888953467159775e-14
63,126.0,-9.0
64,136.0,9.0
65,280.0,9.0
66,176.0,9.0
67,284.0,9.0
68,167.0,8.38271201447012e-14
69,150.0,-9.0
70,1.0,5.51091059616309e-16
71,144.0,9.0
72,278.0,-9.0
73,60.0,9.0
74,16.0,9.0
75,122.0,-9.0
76,112.0,9.0
77,257.0,1.8959203698519815e-13
78,8.0,9.0
79,276.0,9.0
80,204.0,9.0
81,271.0,-3.5717942736584906e-13
82,182.0,-9.0
83,244.0,9.0
84,101.0,3.9672985466644946e-14
85,105.0,-2.207149651329883e-14
86,117.0,4.8490442420505896e-14
87,226.0,-9.0
88,111.0,-1.3209472953603529e-14
89,73.0,8.819128201579732e-14
90,281.0,3.307159148528076e-13
91,272.0,9.0
92,105.0,-2.207149651329883e-14
93,190.0,-9.0
94,82.0,-9.0
95,62.0,-9.0
96,101.0,3.9672985466644946e-14
97,98.0,-9.0
98,265.0,6.61030730253106e-14
99,247.0,-2.1605554949823958e-13
