,noise_level,function,p,integer,"(lb,ub)",n,poly_loss,krr_loss,knn_loss,nn_loss,xg_loss,rf_loss,gp_loss,gpt3_loss,gptj_loss
0,0.1,cosine,1,True,"(-150, 150)",250,1.0514437788742392,0.7837840579751013,1.1445303928022836,1.024211886465209,1.0361276194257054,1.0705451376658504,0.5844374248911507,0.06735395189003644,1.3148270060712501
1,0.1,cosine,1,False,"(0, 10)",250,0.9108701884995146,0.07482353412724903,0.07364724596916067,0.09754172935322311,0.09867277059930296,0.11222356623549876,0.01691978364881183,0.5825744820232223,1.0899894134844648
2,0.1,exponential,1,True,"(-150, 150)",250,2.7489344811675105,0.4121737418149303,0.3375568810797616,0.5661483870734811,0.33812550267337593,0.21662381230815342,0.9373352530593869,1.0800570514334573,1.367063899045884
3,0.1,piecewise,1,False,"(-10, 10)",250,0.44729431739212494,0.16830585580832658,0.0791299643888636,0.06406839994047653,0.061380477967445245,0.0687685413098254,0.09632090094254538,0.2207198967500377,0.1425913235778716
4,0.1,exponential,2,False,"(-10, 10)",250,0.040084529773830826,0.15154005566445106,0.13090912271465252,0.06769174138142832,0.09762166033458505,0.10904030597969629,0.039313105359424054,0.19205052644036166,0.18833317704413688
5,0.1,cosine,1,True,"(0, 300)",250,1.0263905698792417,0.8024987391907026,0.931716772730599,1.1487253153516663,0.8585466285052635,1.0213829057741277,0.5742152211065477,0.08317901234568195,1.1429302903957306
6,0.1,linear,1,False,"(-10, 10)",250,0.00849223756692812,0.0436668172329851,0.03489282143050819,0.035250820727923536,0.04646143481731547,0.040655023515597584,0.008770403073535535,0.05581749008687624,0.08907427669092774
7,0.1,l1norm,1,False,"(-10, 10)",250,0.23376466475095664,0.05146902423929433,0.04403692483390903,0.016038667610612345,0.06124792813925224,0.061233554410408425,0.027445825253442416,0.10614815656750369,0.10174269714049704
8,0.1,quadratic,1,False,"(-10, 10)",250,0.007835981027878296,0.05275671855959438,0.04294498196564362,0.06526994331244687,0.056768645408245444,0.05097397780777896,0.012764411301323969,0.12958601555869054,0.11520896078727604
9,0.1,quadratic,2,False,"(-10, 10)",250,0.029107677026335998,0.16272148148996524,0.1734135598492503,0.06262595516939912,0.1385254154854688,0.24744619859105194,0.025765405224223947,0.23518805230851206,0.2196116950682819
10,0.1,exponential,1,False,"(0, 10)",250,0.013534713442220405,0.04995568977964625,0.0387137020686163,0.053427189321414735,0.04785109424634936,0.03892751237161259,0.015011593597363104,0.10781631475072963,0.23273902666230434
11,0.1,linear,2,False,"(-10, 10)",250,0.02500615684218745,0.08624230388650832,0.1122470439937075,0.042981876975217284,0.10705070120000752,0.11018166564179623,0.007122701395612909,0.1927435771169886,0.1173372006587436
12,0.1,cosine,2,False,"(-10, 10)",250,1.0278891782391408,0.7243097481007166,0.7651091098533119,1.0361612895061874,0.42019157260508877,0.8130067695741869,0.3010336406051592,0.7477762166352854,0.7228851687601583
13,0.1,exponential,1,True,"(0, 300)",250,2.635774556012711,0.3983564492276716,0.32881604888142324,0.5689957053727689,0.28712806650164274,0.21076282497309778,0.979516578792091,1.730832786530585,0.5689966565489265
14,0.1,exponential,1,False,"(-10, 10)",250,0.039037398020227425,0.09375624232698261,0.06288298766687626,0.022286758308080776,0.05046552007884689,0.040039359139193396,0.01720022602854857,0.09704619231490762,0.09652343196062546
15,0.1,cosine,1,False,"(-10, 10)",250,1.054439027871301,0.12288350882979805,0.11255577569105926,0.297995099827858,0.15169324534955694,0.3462841311347506,0.037476139032914225,0.5302137393482005,0.29799424083431403
16,0.1,l1norm,2,False,"(-10, 10)",250,0.24180850151211855,0.15851461418736265,0.2026663713933664,0.057004007308797,0.15833837566771522,0.28679556778405985,0.07628901843331176,0.21296388033065095,0.2051076411130983
17,0.1,piecewise,2,False,"(-10, 10)",250,0.3889522296193014,0.3399997769289121,0.3289597441339996,0.21729436639622787,0.2197667601280049,0.4091771078285996,0.28127440344766125,0.4652438566107146,0.37477804168344137
