,Unnamed: 0,noise_level,function,p,integer,"(lb,ub)",n,poly_loss,krr_loss,knn_loss,nn_loss,xg_loss,rf_loss,gp_loss,gpt3_loss,gptj_loss
0,15,0.1,cosine,1,False,"(-10, 10)",250,0.004061883564509041,0.0017310253873173095,0.030320353620570742,0.07153543746836025,0.008111604065176619,0.015360836782211257,0.0030638125919093414,0.09735832108586867,0.07720934342099525
1,1,0.1,cosine,1,False,"(0, 10)",250,0.004281114466501768,0.0031293487407112455,0.006178807051315061,0.03886687459497879,0.009723692758470175,0.010477131911925189,0.0034944826408587976,0.16508290930603334,0.3473263616888268
2,0,0.1,cosine,1,True,"(-150, 150)",250,0.002088486335977653,0.006630636088775883,0.06653660738743664,0.009250008433476094,0.1124626220979446,0.01892538291291106,0.009139466942567809,0.009900395624526336,0.5803918402814083
3,5,0.1,cosine,1,True,"(0, 300)",250,0.0213811000521336,0.0021345963361487025,0.12916352924970825,0.08640332537431569,0.10110627375211624,0.026228522208816003,0.009601523472930489,0.022110410540104767,0.5542984689600201
4,12,0.1,cosine,2,False,"(-10, 10)",250,0.015155976116832472,0.024490256146011767,0.06277501134749797,0.04130598039978342,0.028583866884611606,0.021526708301611693,0.008769855116586877,0.0826455639200189,0.1651006351274812
5,14,0.1,exponential,1,False,"(-10, 10)",250,0.0009471952559240684,0.022675411794302693,0.01189047232434167,0.003489799551627871,0.0073468771855902115,0.005714528314858671,0.003495321150699966,0.0036752918779311416,0.017235370974973043
6,10,0.1,exponential,1,False,"(0, 10)",250,0.002087153730832373,0.0016335074053541124,0.007877468876151794,0.07363574577865772,0.0027113182387179064,0.004643620032612179,0.0026510950519802526,0.008848100699766262,0.0628621402447166
7,2,0.1,exponential,1,True,"(-150, 150)",250,0.1423949453909459,0.07838983167250575,0.021134970620678466,0.004122231799770475,0.015422348256405032,0.05667292122172119,0.016410366361578884,0.10659335902382909,0.0720245082082066
8,13,0.1,exponential,1,True,"(0, 300)",250,0.04717196624474894,0.020333600210395153,0.052162174753075954,4.509747244882934e-16,0.008542777433449396,0.04187128797790639,0.03827873057127029,0.762067110743846,0.15384439239557562
9,4,0.1,exponential,2,False,"(-10, 10)",250,0.0005983811549809587,0.004980607973019841,0.002034893121743141,0.01441229143828357,0.007615624854431354,0.007763846963772263,0.0010489848427045205,0.014461780019274804,0.02097879914425458
10,7,0.1,l1norm,1,False,"(-10, 10)",250,0.00476037354035669,0.011034597674360455,0.0019980274271323016,0.017121522751519395,0.0024801721560576947,0.0017386701814496048,0.004640595881478417,0.014763552419695935,0.00390082326519664
11,16,0.1,l1norm,2,False,"(-10, 10)",250,0.0018507348178657451,0.007902064392435508,0.015915035012380074,0.0037071497145308913,0.01157940767617929,0.008293611716466868,0.006078384376142339,0.01539899335173761,0.041528542491112666
12,6,0.1,linear,1,False,"(-10, 10)",250,0.0014496482987354695,0.0032605792952135446,0.010695141646199564,0.0049471403991044735,0.002948785913401003,0.00474892440677933,0.0005981025018288716,0.006983435237333233,0.007256073209018754
13,11,0.1,linear,2,False,"(-10, 10)",250,0.002293228546748343,0.0032658228203709945,0.00415237465677604,0.004924888707740023,0.01325436822048083,0.012657879085876065,0.002295745726245641,0.009111766022572841,0.015001389220143926
14,3,0.1,piecewise,1,False,"(-10, 10)",250,0.00681368798021601,0.001955216959385414,0.0021096361842937433,0.01798904809231837,0.0016546366403103105,0.004065219224335894,0.005356241154061331,0.04685842258874317,0.01281809256781403
15,17,0.1,piecewise,2,False,"(-10, 10)",250,0.0029086750461394034,0.006916678655801689,0.008768176109776949,0.012235473118142038,0.02958465856553823,0.025293481919664452,0.024330094309480018,0.08680069748312352,0.0664518296374799
16,8,0.1,quadratic,1,False,"(-10, 10)",250,0.0005578873701899684,0.0014865646920228508,0.005618773683797048,0.02639102019976017,0.0028140494658515486,0.003668065066610163,0.0014595879901113415,0.002886440941148499,0.0037148453306977305
17,9,0.1,quadratic,2,False,"(-10, 10)",250,0.001886563539558041,0.003948937035663523,0.0031091364871624278,0.008431225976791627,0.012148879150230324,0.0017099290039298116,0.0011013112282530558,0.016142260642406515,0.09755362226918403
