,0,y
0,62.0,126.0
1,133.0,285.75
2,215.0,470.25
3,123.0,263.25
4,57.0,114.75
5,290.0,639.0
6,195.0,425.25
7,260.0,571.5
8,8.0,4.5
9,80.0,166.5
10,151.0,326.25
11,20.0,31.5
12,298.0,657.0
13,71.0,146.25
14,112.0,238.5
15,64.0,130.5
16,32.0,58.5
17,70.0,144.0
18,90.0,189.0
19,190.0,414.0
20,84.0,175.5
21,109.0,231.75
22,2.0,0.0
23,110.0,234.0
24,160.0,346.5
25,49.0,96.75
26,179.0,389.25
27,88.0,184.5
28,190.0,414.0
29,8.0,4.5
30,266.0,585.0
31,5.0,-2.25
32,38.0,72.0
33,233.0,510.75
34,14.0,18.0
35,213.0,465.75
36,291.0,641.25
37,262.0,576.0
38,213.0,465.75
39,288.0,634.5
40,129.0,276.75
41,262.0,576.0
42,107.0,227.25
43,279.0,614.25
44,45.0,87.75
45,282.0,621.0
46,250.0,549.0
47,254.0,558.0
48,37.0,69.75
49,179.0,389.25
50,5.0,-2.25
51,216.0,472.5
52,2.0,0.0
53,25.0,42.75
54,68.0,139.5
55,263.0,578.25
56,109.0,231.75
57,162.0,351.0
58,170.0,369.0
59,68.0,139.5
60,172.0,373.5
61,198.0,432.0
62,89.0,186.75
63,126.0,270.0
64,136.0,292.5
65,280.0,616.5
66,176.0,382.5
67,284.0,625.5
68,167.0,362.25
69,150.0,324.0
70,1.0,0.0
71,144.0,310.5
72,278.0,612.0
73,60.0,121.5
74,16.0,22.5
75,122.0,261.0
76,112.0,238.5
77,257.0,564.75
78,8.0,4.5
79,276.0,607.5
80,204.0,445.5
81,271.0,596.25
82,182.0,396.0
83,244.0,535.5
84,101.0,213.75
85,105.0,222.75
86,117.0,249.75
87,226.0,495.0
88,111.0,236.25
89,73.0,150.75
90,281.0,618.75
91,272.0,598.5
92,105.0,222.75
93,190.0,414.0
94,82.0,171.0
95,62.0,126.0
96,101.0,213.75
97,98.0,207.0
98,265.0,582.75
99,247.0,542.25
