,0,y
0,-88.0,-184.5
1,-17.0,-24.75
2,65.0,132.75
3,-27.0,-47.25
4,-93.0,-195.75
5,140.0,301.5
6,45.0,87.75
7,110.0,234.0
8,-142.0,-306.0
9,-70.0,-144.0
10,1.0,0.0
11,-130.0,-279.0
12,148.0,319.5
13,-79.0,-164.25
14,-38.0,-72.0
15,-86.0,-180.0
16,-118.0,-252.0
17,-80.0,-166.5
18,-60.0,-121.5
19,40.0,76.5
20,-66.0,-135.0
21,-41.0,-78.75
22,-148.0,-319.5
23,-40.0,-76.5
24,10.0,9.0
25,-101.0,-213.75
26,29.0,51.75
27,-62.0,-126.0
28,40.0,76.5
29,-142.0,-306.0
30,116.0,247.5
31,-145.0,-312.75
32,-112.0,-238.5
33,83.0,173.25
34,-136.0,-292.5
35,63.0,128.25
36,141.0,303.75
37,112.0,238.5
38,63.0,128.25
39,138.0,297.0
40,-21.0,-33.75
41,112.0,238.5
42,-43.0,-83.25
43,129.0,276.75
44,-105.0,-222.75
45,132.0,283.5
46,100.0,211.5
47,104.0,220.5
48,-113.0,-240.75
49,29.0,51.75
50,-145.0,-312.75
51,66.0,135.0
52,-148.0,-319.5
53,-125.0,-267.75
54,-82.0,-171.0
55,113.0,240.75
56,-41.0,-78.75
57,12.0,13.5
58,20.0,31.5
59,-82.0,-171.0
60,22.0,36.0
61,48.0,94.5
62,-61.0,-123.75
63,-24.0,-40.5
64,-14.0,-18.0
65,130.0,279.0
66,26.0,45.0
67,134.0,288.0
68,17.0,24.75
69,0.0,0.0
70,-149.0,-321.75
71,-6.0,0.0
72,128.0,274.5
73,-90.0,-189.0
74,-134.0,-288.0
75,-28.0,-49.5
76,-38.0,-72.0
77,107.0,227.25
78,-142.0,-306.0
79,126.0,270.0
80,54.0,108.0
81,121.0,258.75
82,32.0,58.5
83,94.0,198.0
84,-49.0,-96.75
85,-45.0,-87.75
86,-33.0,-60.75
87,76.0,157.5
88,-39.0,-74.25
89,-77.0,-159.75
90,131.0,281.25
91,122.0,261.0
92,-45.0,-87.75
93,40.0,76.5
94,-68.0,-139.5
95,-88.0,-184.5
96,-49.0,-96.75
97,-52.0,-103.5
98,115.0,245.25
99,97.0,204.75
