,AT,V,AP,RH,PE
289,30.36,74.87,1008.96,61.87,435.31
3384,24.26,56.57,1013.86,70.35,442.9
7717,8.39,36.3,1015.39,62.23,479.57
2639,14.84,44.63,1019.28,57.37,466.0
8624,23.11,68.3,1017.83,86.62,437.91
825,23.66,62.08,1022.42,64.13,447.06
3745,18.91,59.21,1017.76,90.49,450.24
9475,8.9,36.24,1013.29,89.35,479.03
1062,22.23,46.93,1013.09,58.02,448.27
4794,23.28,48.92,1010.23,41.55,449.27
2410,28.18,60.07,1016.34,49.13,441.61
8005,13.71,45.08,1023.35,82.93,468.43
3452,21.84,64.69,1007.57,77.34,450.25
3049,26.2,71.14,1007.92,72.95,431.7
2735,10.48,41.93,1017.17,92.81,480.01
3336,19.35,64.15,1021.37,68.53,457.74
2208,25.06,78.92,1010.74,90.7,434.55
6094,22.17,70.47,1011.07,82.57,441.14
8193,14.84,43.69,1016.31,68.67,472.07
8710,31.24,72.39,999.47,68.17,430.7
7449,14.92,46.18,1014.21,98.82,465.63
1546,20.46,51.43,1007.31,93.25,444.88
3199,11.8,45.09,1013.21,89.68,470.57
8816,10.12,40.0,1021.33,95.29,476.03
518,8.34,40.72,1023.62,83.75,483.14
1556,22.32,59.8,1016.82,64.18,451.21
5583,29.13,62.26,1010.51,52.94,436.37
3700,6.43,39.61,1017.51,83.8,480.58
7810,21.47,60.77,1018.06,85.73,444.02
8394,20.16,60.1,1011.24,86.23,453.36
7309,29.54,72.29,1011.0,42.0,443.79
8465,27.44,47.93,1002.71,59.44,437.76
4421,16.27,58.2,1018.47,80.03,453.66
5847,6.75,39.9,1008.3,87.42,484.05
815,18.67,47.83,1005.12,82.97,454.47
5747,6.37,41.03,1022.23,80.36,490.47
2835,24.05,72.24,1011.32,88.94,437.81
8726,20.17,50.66,1014.38,82.09,454.79
7381,21.69,69.94,1010.7,80.8,443.67
5665,24.78,50.78,1008.81,62.97,443.98
4039,7.36,40.07,1017.29,52.55,489.45
8086,28.84,75.6,1018.41,53.96,442.69
1593,25.62,58.82,1010.02,70.31,444.14
9150,27.62,72.43,1007.54,71.33,428.76
4627,19.54,50.66,1014.7,84.53,456.61
9554,10.06,37.83,1005.49,99.46,473.51
8136,27.2,49.16,1005.33,46.73,440.57
6877,31.01,73.5,1010.92,48.61,432.41
8847,35.56,68.94,1006.56,38.75,429.69
6000,14.38,40.71,1023.46,66.12,473.41
9082,22.63,58.49,1010.94,72.7,448.38
7724,18.02,53.16,1013.41,82.84,458.01
491,24.22,61.86,1013.39,80.11,442.65
8121,25.67,68.3,1017.16,74.19,435.89
6935,21.49,61.27,1019.81,63.21,450.07
5892,25.44,66.54,1011.9,56.76,437.99
2060,9.76,41.01,1019.66,97.59,467.6
6214,12.28,41.49,1019.73,94.79,467.44
7352,28.61,69.84,1004.24,67.74,429.91
2998,20.76,58.18,1007.8,99.22,449.25
8682,13.25,34.03,1018.94,72.1,470.46
6643,31.82,73.68,1014.8,40.58,433.32
8646,31.81,66.44,1011.21,53.55,426.84
1341,26.12,75.6,1017.41,72.31,439.68
6251,8.07,41.17,1019.4,86.43,484.54
3949,28.44,77.54,1011.73,77.3,433.21
7862,25.15,68.61,1011.03,53.59,447.91
6252,12.32,41.62,1012.16,88.37,455.71
1991,3.6,35.19,1018.73,99.1,488.98
3830,18.06,52.08,1003.73,100.09,452.19
6194,19.31,52.72,1024.93,53.93,455.25
6874,29.06,71.64,1005.54,69.84,435.98
