,AT,V,AP,RH,PE
6502,15.24,37.87,1020.52,84.49,463.09
654,25.01,66.56,1004.55,82.46,434.74
6567,19.51,48.78,1021.03,86.33,453.27
5197,30.66,73.77,1003.13,78.09,430.0
9283,30.76,69.14,1007.63,71.24,431.67
861,30.96,64.44,1013.63,49.64,437.61
996,28.17,72.43,1007.37,68.92,428.88
2260,26.43,58.41,1013.57,64.67,444.74
3388,19.83,63.94,1019.81,75.05,448.03
1729,11.58,39.69,1005.17,86.55,469.6
4120,29.19,67.51,1011.48,55.55,446.97
777,11.73,37.92,1008.24,65.13,472.04
3271,11.43,41.16,1022.81,92.04,466.86
3826,6.93,39.81,1017.25,87.29,484.98
815,18.67,47.83,1005.12,82.97,454.47
5240,14.56,47.45,1009.52,91.14,451.95
5968,30.2,71.85,1008.25,59.1,425.21
7531,10.15,41.46,1019.78,83.56,481.31
1145,10.56,40.22,1005.08,89.71,478.02
6991,10.09,41.01,1019.89,96.55,471.15
9546,12.88,44.34,1016.03,88.51,474.94
3939,7.46,39.81,1018.62,86.73,484.13
5288,12.39,44.58,1016.38,84.95,475.37
5685,15.48,41.66,1009.55,66.74,467.06
1770,5.21,41.31,1003.51,91.23,486.46
6798,29.01,70.32,1007.26,60.55,429.23
287,30.08,67.25,1017.6,53.09,434.01
4812,25.56,58.82,1010.44,70.23,441.0
9550,17.53,42.24,1016.9,60.95,470.63
687,14.13,53.82,1016.72,64.85,467.08
3726,26.75,56.57,1013.76,57.93,443.92
7075,16.59,43.56,1012.88,59.61,465.03
6882,6.15,40.07,1020.2,66.64,494.3
838,28.41,74.16,1010.29,72.09,439.2
1168,14.33,42.86,1010.82,88.59,469.52
6413,10.93,39.22,1019.44,64.94,473.27
3940,24.47,48.6,1002.49,75.04,442.08
2072,9.55,43.99,1020.5,97.28,476.06
2372,9.41,43.5,1021.0,88.74,473.84
6774,16.92,50.9,1013.27,82.97,460.86
3059,21.43,46.97,1013.94,61.25,457.68
8007,24.34,70.79,1006.82,85.66,433.83
584,30.97,67.69,1005.61,50.88,425.35
4597,17.66,62.1,1019.49,86.3,452.03
3493,7.49,39.81,1019.03,87.29,483.59
1015,16.21,41.23,995.88,80.0,463.09
7960,27.92,74.99,1005.47,75.13,431.76
1012,31.41,76.09,1007.68,70.49,430.81
3055,8.27,40.69,1020.13,86.1,484.97
7617,23.77,69.13,1011.05,89.41,434.08
2749,13.52,40.83,1008.31,84.14,471.95
5642,24.14,63.21,1012.28,89.08,440.74
9092,23.12,69.71,1008.98,84.41,442.21
8383,15.84,49.69,1015.14,90.41,462.6
4729,24.85,70.09,1006.56,70.09,439.96
6419,26.95,70.79,1004.09,75.35,430.07
4890,22.35,63.94,1010.32,93.02,443.9
7412,25.92,73.77,1001.27,94.28,432.0
6014,21.98,59.39,1015.25,84.52,446.79
6257,21.5,50.59,1017.08,65.28,453.8
563,7.49,36.08,1020.27,85.69,483.26
6473,7.1,41.74,1022.25,91.07,484.12
4657,17.77,43.72,1009.01,77.7,456.34
2764,22.72,69.13,1010.81,92.43,438.01
2667,8.5,39.16,1014.1,86.64,485.76
856,13.87,49.83,1006.76,89.14,462.46
5145,31.7,70.36,1006.26,58.18,438.38
4043,17.45,42.28,1007.64,69.19,463.83
2031,23.71,67.17,1007.27,90.2,440.65
4549,17.82,65.48,1019.64,86.6,449.21
9554,10.06,37.83,1005.49,99.46,473.51
1979,29.45,75.6,1018.12,50.68,437.31
5630,30.68,73.67,1005.63,57.05,429.64
7635,9.81,71.14,1019.43,87.93,469.64
3120,28.08,73.17,1011.19,73.1,430.8
4143,13.85,45.08,1024.86,83.85,468.35
1864,13.91,40.24,1017.03,85.93,466.24
3926,22.17,60.27,1018.21,89.55,443.31
2177,17.68,44.92,1024.55,69.7,458.12
1684,10.58,42.34,1022.32,94.01,474.91
3467,25.98,60.95,1014.5,48.01,442.9
7516,27.61,59.54,1005.84,71.27,437.85
9105,13.07,42.18,1014.98,87.77,461.71
9374,21.94,64.69,1007.39,77.58,449.36
9180,23.1,70.79,1006.53,90.81,434.58
5560,10.59,41.26,1008.1,98.27,474.76
6467,24.75,63.57,1010.47,84.24,445.3
6682,11.21,44.03,1007.95,93.03,471.79
500,26.32,69.71,1009.39,67.05,441.25
7597,29.75,74.87,1009.1,56.5,435.61
8035,14.41,43.13,1016.32,59.55,467.46
5149,14.1,42.18,1015.05,78.25,463.3
69,27.13,59.54,1004.33,73.27,438.32
5838,31.09,74.22,1007.56,46.36,430.3
9553,13.85,41.39,1018.62,75.55,471.45
5584,18.26,69.94,1004.1,97.39,443.59
457,9.55,40.72,1023.12,68.06,481.08
5846,12.34,40.1,1015.77,92.26,470.92
8033,14.01,45.08,1023.28,82.49,464.79
7956,12.64,41.79,1016.38,92.65,461.46
5266,23.71,68.63,1014.54,46.04,449.41
6621,20.12,56.53,1020.34,75.59,454.54
8832,20.51,48.6,1005.29,80.7,448.0
6548,28.32,68.12,1011.62,46.75,433.59
5008,14.57,37.86,1022.44,68.82,463.58
5014,17.8,43.72,1008.71,78.5,458.92
961,27.17,61.02,1011.38,65.32,437.06
4542,25.02,47.45,1008.07,60.42,446.62
4735,28.44,67.07,1006.08,50.42,433.15
11,22.99,46.93,1014.15,49.42,451.41
2807,24.92,73.68,1015.12,93.68,438.23
1295,26.82,69.05,1004.62,40.0,437.42
3654,22.4,58.12,1015.24,78.03,449.13
1254,29.05,70.32,1011.33,72.5,437.16
2834,26.61,56.85,1012.48,48.84,437.26
3799,18.9,57.5,1016.21,93.9,451.42
9441,22.7,64.05,1012.65,89.69,448.76
542,10.16,41.55,1005.69,58.04,477.27
2237,31.0,77.95,1010.14,65.97,431.62
4281,6.03,41.17,1019.81,84.2,488.57
9266,28.44,69.4,1003.98,73.51,433.44
4670,24.5,60.77,1017.15,73.66,439.91
6834,29.87,73.68,1015.1,40.96,433.43
6865,16.81,42.86,1013.83,77.11,464.36
4429,13.43,43.56,1013.02,66.36,472.94
5899,17.69,65.46,1013.72,67.28,448.49
8662,6.5,41.14,1028.15,86.78,480.96
912,10.79,43.56,1015.15,73.01,479.64
6256,10.72,40.81,1016.51,80.26,474.64
326,11.46,39.1,1010.17,100.15,470.55
6663,24.42,64.79,1016.12,69.32,449.1
2994,22.93,58.2,1017.75,54.09,444.95
8302,21.92,64.63,1020.42,65.22,452.49
954,22.85,60.08,1018.05,67.12,452.5
5338,32.0,65.74,1011.22,46.16,440.26
7537,27.69,70.32,1012.2,82.27,432.57
3809,10.98,41.54,1019.94,69.83,479.08
3894,11.74,43.56,1015.14,70.72,477.5
8282,8.7,39.72,1020.0,78.75,479.03
7897,16.62,52.05,1011.96,67.81,457.89
5797,18.85,67.32,1012.91,82.37,446.7
531,17.89,40.12,1011.99,76.52,451.79
8152,12.53,42.03,1017.57,81.57,469.18
6976,27.16,65.61,1014.21,47.93,441.33
8025,22.54,63.91,1012.15,84.91,446.64
6769,13.67,40.71,1016.19,66.15,467.62
7491,27.34,59.87,1012.06,59.04,448.26
7349,14.59,41.23,999.48,86.66,466.83
7539,13.26,42.99,1007.58,94.26,472.52
8295,18.01,62.26,1011.89,89.29,451.14
6875,13.0,48.79,1017.14,85.23,464.12
4326,16.68,53.16,1014.32,78.02,456.29
3407,31.25,73.5,1010.81,45.2,432.25
4548,12.66,43.67,1012.49,95.96,472.44
3447,11.01,43.69,1016.7,81.48,477.3
7196,11.45,45.01,1018.88,92.12,470.4
3168,17.28,44.92,1024.39,76.08,459.26
8522,17.14,40.55,1000.05,71.41,461.21
881,13.99,45.0,1023.83,77.92,472.55
1611,12.1,44.77,1019.1,75.85,463.11
2289,19.31,67.71,1005.31,77.15,446.23
3050,30.51,70.79,1004.55,56.05,428.79
4193,25.23,61.86,1013.0,76.18,441.48
9065,27.88,70.79,1005.06,72.5,429.62
2517,28.43,73.18,1012.52,71.05,427.11
7958,26.16,59.87,1013.24,71.92,446.73
8575,10.3,41.79,1021.09,49.39,471.58
3900,29.08,70.83,1007.98,51.95,430.91
5619,31.01,67.83,1007.95,43.57,429.46
5428,33.96,68.94,1006.93,47.39,427.06
1559,6.91,37.49,1011.05,82.07,481.88
6085,10.59,25.36,1009.59,100.16,470.96
3702,28.37,68.12,1012.41,45.87,436.42
6535,14.03,49.83,1006.64,90.01,463.71
