,carat,cut,color,clarity,depth,table,x,y,z,price
26438,2.01,Good,G,SI2,63.6,59.0,8.0,7.95,5.07,15977
18994,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7820
18361,0.37,Very Good,F,SI1,62.4,59.0,4.56,4.6,2.86,616
38297,0.28,Good,F,VS1,58.3,58.0,4.33,4.35,2.53,487
18900,1.61,Premium,H,SI1,62.8,58.0,7.47,7.4,4.67,7754
13460,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5527
15485,1.33,Very Good,I,VS2,62.5,61.0,6.99,7.02,4.38,6203
9690,0.36,Premium,E,SI1,62.2,59.0,4.53,4.57,2.83,589
2087,0.79,Premium,D,SI1,61.4,59.0,5.89,5.96,3.64,3112
36699,0.4,Good,G,VS1,59.6,61.0,4.82,4.85,2.88,952
15418,1.38,Premium,J,VS2,60.2,59.0,7.29,7.19,4.36,6175
44195,0.51,Very Good,F,VS2,62.9,55.0,5.08,5.12,3.21,1569
50479,0.7,Good,G,SI2,60.1,65.0,5.7,5.65,3.41,2268
8347,1.02,Very Good,E,SI2,63.0,57.0,6.39,6.44,4.04,4398
16973,1.07,Premium,G,VS2,61.9,58.0,6.54,6.55,4.05,6779
27172,2.0,Premium,I,VS1,61.1,58.0,8.11,8.08,4.95,17436
39833,0.5,Very Good,E,SI2,63.0,57.0,5.01,5.05,3.17,1098
30381,0.34,Very Good,F,VS2,61.5,58.2,4.49,4.51,2.77,730
13967,1.02,Premium,F,SI1,61.8,59.0,6.45,6.39,3.97,5686
45755,0.49,Fair,E,VVS2,65.5,58.0,4.91,4.86,3.2,1705
9586,0.82,Ideal,D,VS2,61.9,56.0,5.98,6.03,3.72,4628
27847,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,651
6539,1.12,Premium,D,SI2,61.2,59.0,6.7,6.66,4.09,4071
47955,0.7,Very Good,I,SI1,62.7,56.0,5.64,5.68,3.55,1918
49963,0.3,Premium,E,SI2,61.7,61.0,4.31,4.28,2.65,540
27291,2.0,Ideal,G,VS2,62.3,57.0,8.06,7.97,4.99,17760
34020,0.35,Ideal,E,VVS2,61.0,57.0,4.54,4.58,2.78,849
16095,1.26,Premium,H,SI1,62.1,57.0,6.94,6.88,4.29,6435
2723,0.26,Very Good,E,VVS2,61.7,61.0,4.08,4.12,2.53,564
9374,0.32,Ideal,I,VVS1,62.5,55.0,4.37,4.4,2.74,589
27834,0.41,Very Good,J,IF,60.8,56.0,4.83,4.87,2.95,651
48925,0.7,Very Good,G,SI1,61.9,56.0,5.68,5.73,3.53,2042
29644,0.35,Ideal,G,VS1,62.1,56.0,4.52,4.56,2.82,706
2957,1.01,Premium,J,VS2,62.4,60.0,6.45,6.35,3.99,3296
43943,0.34,Ideal,H,SI1,61.3,56.0,4.48,4.52,2.76,516
38669,0.7,Premium,F,I1,63.0,61.0,5.69,5.55,3.54,1040
28500,0.4,Ideal,F,SI2,61.9,57.0,4.71,4.73,2.92,673
47328,0.23,Very Good,D,VVS2,61.4,58.0,3.92,3.96,2.42,530
38331,0.32,Ideal,E,VVS1,61.6,56.0,4.42,4.41,2.72,1020
6141,0.9,Premium,H,VS2,62.1,58.0,6.16,6.2,3.84,3989
23831,1.27,Premium,F,VVS2,61.3,60.0,6.99,6.9,4.26,11905
41660,0.5,Ideal,D,SI2,61.6,57.0,5.1,5.13,3.15,1239
11774,1.21,Premium,H,SI2,62.1,56.0,6.8,6.76,4.21,5082
21824,1.53,Very Good,H,VS1,59.5,63.0,7.44,7.51,4.45,9896
30785,0.33,Very Good,D,VS1,61.6,53.0,4.45,4.48,2.75,742
37122,0.42,Ideal,D,SI1,63.0,55.0,4.79,4.76,3.01,970
34944,0.24,Good,E,VS2,63.0,59.0,3.96,4.01,2.51,378
22130,1.54,Premium,I,VS1,61.6,58.0,7.39,7.42,4.56,10164
38303,0.37,Ideal,J,VS1,62.4,55.0,4.59,4.64,2.88,487
49618,0.66,Good,G,VS1,61.6,61.0,5.56,5.63,3.43,2139
53726,0.72,Premium,D,VS2,61.0,59.0,5.77,5.74,3.51,2721
29034,0.31,Ideal,H,VVS1,61.4,54.0,4.4,4.43,2.71,687
27003,2.09,Ideal,I,SI1,61.8,56.0,8.15,8.22,5.06,17114
6016,0.91,Premium,H,VS2,62.3,57.0,6.22,6.13,3.85,3963
40327,0.45,Good,G,VS1,64.1,58.8,4.79,4.86,3.09,1127
33346,0.41,Ideal,G,VS2,62.7,56.0,4.71,4.76,2.97,827
35958,0.33,Very Good,H,SI1,63.0,58.0,4.4,4.42,2.78,475
