,0,1,2,3,4,5,6,7,8,9,y
0,0,0.3,Very Good,G,IF,58.4,62.0,4.4,4.43,2.58,835
1,1,1.02,Ideal,G,VS1,61.3,57.0,6.48,6.51,3.98,7324
2,2,0.56,Premium,D,VS2,61.1,58.0,5.34,5.3,3.25,2066
3,3,0.9,Ideal,F,SI1,61.7,57.0,6.25,6.2,3.84,4657
4,4,0.43,Ideal,I,IF,62.3,53.0,4.82,4.9,3.02,1046
5,5,0.62,Fair,E,VS1,58.8,67.0,5.66,5.57,3.29,2344
6,6,0.31,Ideal,G,VS1,62.1,55.0,4.36,4.33,2.7,802
7,7,1.03,Very Good,G,I1,62.4,57.0,6.41,6.45,4.01,3060
8,8,0.9,Ideal,G,SI1,62.3,58.0,6.17,6.22,3.86,4452
9,9,0.5,Ideal,G,VS2,62.0,57.0,5.08,5.11,3.16,1449
10,10,0.42,Ideal,D,SI1,61.9,55.0,4.79,4.84,2.98,756
11,11,1.51,Very Good,E,SI2,63.4,59.0,7.26,7.19,4.58,9513
12,12,0.37,Very Good,F,SI1,62.5,58.0,4.52,4.57,2.84,616
13,13,0.34,Premium,I,VS1,59.5,59.0,4.59,4.55,2.72,689
14,14,0.73,Ideal,G,SI2,61.8,56.0,5.76,5.83,3.58,2585
15,15,1.14,Very Good,H,SI1,59.2,58.0,6.8,6.86,4.04,4890
16,16,1.17,Ideal,F,SI1,62.2,56.0,6.71,6.73,4.18,5837
17,17,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5709
18,18,1.52,Ideal,G,SI1,63.0,55.0,7.31,7.38,4.63,11510
19,19,0.31,Very Good,H,VS1,61.5,61.0,4.31,4.34,2.66,544
20,20,0.6,Very Good,E,SI2,62.8,56.0,5.41,5.45,3.41,1385
21,21,0.5,Premium,F,SI1,59.1,58.0,5.23,5.19,3.08,1286
22,22,0.55,Ideal,F,VS1,61.3,57.0,5.25,5.28,3.23,1809
23,23,1.2,Premium,G,SI1,61.5,61.0,6.84,6.78,4.19,5947
24,24,1.4,Premium,I,VVS2,62.0,58.0,7.22,7.16,4.46,8467
25,25,0.61,Ideal,G,SI2,60.5,56.0,5.49,5.59,3.35,1306
26,26,0.32,Ideal,E,VVS1,61.8,55.0,4.4,4.43,2.73,921
27,27,0.75,Very Good,E,VS2,63.0,57.0,5.81,5.78,3.65,3718
28,28,0.9,Very Good,H,SI1,61.9,59.0,6.17,6.21,3.83,3595
29,29,1.33,Ideal,H,VS2,59.5,57.0,7.18,7.23,4.29,8385
30,30,0.7,Premium,H,SI2,58.8,59.0,5.92,5.84,3.44,2159
31,31,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6166
32,32,0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,642
33,33,0.32,Ideal,F,VS2,61.9,55.0,4.41,4.45,2.74,602
34,34,1.3,Ideal,G,VS1,62.0,55.0,7.02,6.98,4.34,10221
35,35,0.7,Ideal,E,SI1,62.3,56.0,5.68,5.62,3.52,1758
36,36,1.51,Premium,E,I1,59.0,62.0,7.41,7.36,4.36,6494
37,37,0.43,Ideal,D,SI2,61.0,57.0,4.81,4.86,2.95,716
38,38,1.2,Premium,H,SI1,62.4,59.0,6.73,6.7,4.19,5899
39,39,1.56,Ideal,I,VVS2,62.0,56.0,7.39,7.42,4.6,10481
40,40,0.55,Ideal,H,SI1,62.1,56.0,5.2,5.26,3.25,1319
41,41,1.03,Premium,I,VS1,60.4,59.0,6.51,6.57,3.95,5012
42,42,0.72,Very Good,D,VS2,62.6,59.0,5.69,5.72,3.57,3075
43,43,1.27,Ideal,J,SI2,62.6,57.0,6.88,6.85,4.3,4779
44,44,0.52,Very Good,G,SI1,59.4,60.0,5.23,5.28,3.12,1267
45,45,0.55,Premium,E,SI2,59.7,58.0,5.35,5.33,3.19,1364
46,46,0.31,Good,G,SI1,63.2,54.0,4.31,4.33,2.73,462
47,47,0.33,Ideal,G,IF,62.1,56.0,4.44,4.41,2.75,1052
48,48,0.3,Ideal,E,IF,62.2,55.0,4.32,4.36,2.7,957
49,49,1.56,Very Good,I,SI1,61.3,57.0,7.48,7.54,4.6,9494
50,50,1.7,Very Good,H,VS2,62.8,58.0,7.52,7.57,4.74,12874
51,51,1.52,Premium,H,VS2,59.4,59.0,7.49,7.45,4.44,11206
52,52,2.02,Ideal,I,VS2,61.5,58.0,8.19,8.11,5.01,16018
53,53,0.41,Good,E,SI1,63.5,55.0,4.73,4.75,3.01,654
54,54,1.24,Ideal,G,VVS2,61.9,56.0,6.87,6.83,4.24,7986
55,55,0.38,Ideal,G,VS2,62.1,54.5,4.64,4.69,2.9,768
56,56,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91,16319
57,57,0.41,Ideal,F,VS1,61.3,57.0,4.77,4.79,2.93,1007
58,58,0.33,Very Good,E,SI1,63.3,56.0,4.43,4.41,2.8,743
59,59,0.5,Fair,G,VS2,65.7,57.0,4.97,4.9,3.24,1031
60,60,0.77,Very Good,H,SI1,61.7,56.0,5.84,5.89,3.62,2830
61,61,0.31,Good,D,SI1,63.8,57.0,4.29,4.33,2.75,533
62,62,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,2760
63,63,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,649
64,64,2.04,Premium,I,SI2,59.8,59.0,8.3,8.23,4.94,14605
65,65,0.28,Ideal,E,VVS2,62.4,56.0,4.2,4.16,2.61,828
66,66,0.72,Very Good,G,SI1,63.1,57.0,5.66,5.72,3.59,2353
67,67,1.23,Good,I,SI1,60.7,61.0,6.91,6.93,4.2,6165
68,68,1.5,Good,H,VS1,63.8,61.0,7.17,7.12,4.56,9878
69,69,1.01,Ideal,H,VS2,62.7,57.0,6.41,6.39,4.01,5306
70,70,0.3,Very Good,G,VS1,63.1,58.0,4.28,4.24,2.69,776
71,71,0.7,Good,G,VS2,63.1,55.0,5.61,5.64,3.55,2633
72,72,0.97,Very Good,I,SI2,63.4,58.0,6.34,6.2,3.98,2567
73,73,1.5,Ideal,I,VS1,61.3,57.0,7.32,7.35,4.5,9900
74,74,2.3,Premium,H,SI2,62.7,56.0,8.46,8.42,5.29,15992
75,75,0.9,Premium,E,VS2,62.6,59.0,6.14,6.06,3.82,4687
76,76,0.32,Ideal,G,VVS1,62.4,56.0,4.36,4.39,2.73,842
77,77,0.29,Ideal,H,VVS1,62.1,55.0,4.28,4.3,2.66,607
78,78,0.3,Ideal,F,IF,62.2,56.0,4.31,4.34,2.69,886
79,79,0.73,Very Good,G,VS1,62.4,58.1,5.71,5.75,3.58,2999
80,80,0.55,Ideal,F,SI2,61.2,56.0,5.29,5.23,3.22,1263
81,81,0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981
82,82,0.34,Ideal,E,VS1,61.0,57.0,4.52,4.49,2.75,1033
83,83,1.08,Premium,G,SI2,59.3,61.0,6.66,6.61,3.94,3701
84,84,0.33,Ideal,F,VS1,61.2,56.0,4.49,4.46,2.74,928
85,85,1.7,Premium,J,VS2,61.0,59.0,7.66,7.62,4.66,9901
86,86,1.51,Very Good,G,SI1,63.1,56.0,7.27,7.22,4.57,7585
87,87,0.33,Premium,E,VS2,60.7,58.0,4.47,4.49,2.72,723
88,88,0.3,Premium,F,VS2,62.5,58.0,4.32,4.29,2.69,776
89,89,0.55,Ideal,H,VS1,61.9,55.0,5.25,5.28,3.26,1588
90,90,1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,4745
91,91,0.38,Very Good,D,SI2,62.1,55.0,4.62,4.65,2.88,633
92,92,1.0,Very Good,E,VS1,63.0,58.0,6.29,6.38,3.99,7676
93,93,0.5,Good,G,VVS2,64.1,56.0,5.06,5.02,3.23,1791
94,94,1.0,Premium,F,SI1,62.8,59.0,6.36,6.32,3.98,4939
95,95,1.31,Very Good,J,SI1,62.3,55.0,6.98,7.02,4.36,5450
96,96,0.72,Ideal,F,VVS1,60.8,56.0,5.83,5.81,3.54,5051
97,97,1.01,Good,E,VS2,58.0,60.0,6.64,6.68,3.86,6522
98,98,0.71,Ideal,H,VVS1,62.1,54.0,5.7,5.76,3.56,2918
