,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.9,Premium,F,SI1,62.6,60.0,6.14,6.1,3.83,3881
1,0.51,Premium,G,SI1,62.4,58.0,5.07,5.13,3.18,1220
2,1.07,Premium,F,SI2,58.2,58.0,6.79,6.72,3.93,4319
3,0.26,Very Good,I,VVS2,62.7,55.0,4.09,4.12,2.57,427
4,1.03,Ideal,G,VVS1,59.9,61.0,6.56,6.63,3.95,8955
5,1.0,Ideal,D,SI1,60.2,57.0,6.48,6.54,3.92,4774
6,0.4,Ideal,F,VVS2,62.0,56.0,4.73,4.76,2.94,1015
7,1.01,Premium,G,VS1,62.3,59.0,6.42,6.38,3.99,6618
8,1.02,Premium,F,VS1,61.9,58.0,6.5,6.45,4.01,7485
9,1.5,Very Good,I,VS2,63.3,55.0,7.3,7.26,4.61,9533
10,0.9,Premium,G,SI1,62.2,60.0,6.1,6.16,3.81,3734
11,1.01,Premium,F,VS1,60.8,59.0,6.45,6.41,3.91,7017
12,1.01,Ideal,G,SI1,61.4,55.0,6.46,6.5,3.98,4653
13,0.7,Good,H,SI2,63.6,54.0,5.67,5.62,3.59,1999
14,0.33,Ideal,I,IF,62.1,55.0,4.44,4.41,2.75,891
15,0.33,Premium,E,IF,60.8,58.0,4.49,4.46,2.72,1207
16,1.07,Ideal,E,SI2,62.4,57.0,6.52,6.55,4.08,4613
17,0.3,Very Good,H,SI1,62.9,58.0,4.24,4.28,2.68,432
18,0.3,Good,G,VS1,63.3,56.0,4.28,4.31,2.72,565
19,0.65,Ideal,D,VVS1,60.9,57.0,5.58,5.61,3.41,5052
20,0.77,Ideal,J,VS2,61.4,55.0,5.9,5.95,3.64,2159
21,0.32,Premium,E,VS2,61.6,59.0,4.43,4.4,2.72,768
22,1.51,Very Good,E,SI2,63.1,58.0,7.31,7.28,4.6,9513
23,0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
24,0.23,Very Good,E,VVS2,62.7,59.0,3.93,3.95,2.47,465
25,2.0,Very Good,H,SI1,60.3,61.0,8.11,8.17,4.91,16092
26,1.03,Ideal,J,SI1,61.7,56.0,6.49,6.53,4.02,4395
27,1.51,Premium,H,VS2,63.0,58.0,7.34,7.27,4.6,10548
28,1.54,Premium,G,VS2,60.2,60.0,7.51,7.44,4.5,13292
29,1.52,Ideal,F,SI1,62.2,56.0,7.38,7.41,4.6,11637
30,1.22,Premium,I,SI1,61.3,58.0,6.94,6.9,4.24,5602
31,0.33,Very Good,G,SI2,60.0,56.0,4.52,4.55,2.73,460
32,1.01,Very Good,G,SI1,63.5,60.0,6.41,6.38,3.92,4271
33,1.13,Ideal,E,SI2,61.8,57.0,6.68,6.65,4.12,5120
34,1.2,Very Good,J,VS1,62.9,60.0,6.64,6.69,4.19,5226
35,0.81,Ideal,E,SI1,62.3,57.0,5.95,5.99,3.72,3404
36,1.71,Fair,F,SI2,64.9,57.0,7.51,7.41,4.84,8714
37,0.41,Premium,F,VS1,60.8,58.0,4.82,4.76,2.91,1076
38,0.58,Ideal,G,VVS2,61.9,57.0,5.33,5.36,3.31,2132
39,1.2,Very Good,J,SI1,61.3,59.0,6.83,6.9,4.21,4891
40,1.01,Very Good,E,SI1,63.4,60.0,6.34,6.3,4.01,5226
41,1.7,Premium,G,VS2,60.3,60.0,7.72,7.64,4.63,15941
42,0.72,Premium,F,VS1,58.8,60.0,5.91,5.89,3.47,2838
43,0.53,Premium,H,VS2,59.1,59.0,5.33,5.26,3.13,1356
44,1.0,Premium,D,SI2,62.4,58.0,6.36,6.33,3.96,4816
45,0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
46,1.25,Ideal,G,VVS2,62.2,55.0,6.87,6.93,4.29,10983
47,1.01,Ideal,D,VS2,60.6,57.0,6.54,6.46,3.94,7602
48,0.4,Premium,F,VS2,62.1,58.0,4.71,4.76,2.94,842
49,0.29,Ideal,E,VVS2,62.0,55.0,4.25,4.27,2.64,669
50,0.7,Very Good,F,SI1,63.3,59.0,5.57,5.62,3.54,2264
51,1.01,Very Good,F,SI2,63.4,54.0,6.42,6.39,4.06,4270
52,1.07,Ideal,E,SI2,62.4,60.0,6.49,6.52,4.06,5280
53,1.18,Premium,H,SI2,61.6,57.0,6.81,6.73,4.17,4956
54,0.56,Ideal,E,VS1,61.6,56.0,5.26,5.32,3.26,1773
55,1.0,Very Good,G,VVS2,59.5,61.0,6.42,6.46,3.83,7453
56,0.3,Premium,H,VVS2,60.8,60.0,4.29,4.33,2.62,605
57,0.23,Very Good,E,VVS1,61.7,59.0,3.97,4.0,2.46,478
58,1.17,Premium,F,SI2,59.9,59.0,6.82,6.86,4.1,4092
59,0.9,Premium,D,VS2,62.6,59.0,6.14,6.17,3.85,5001
60,0.32,Ideal,J,VS2,62.2,57.0,4.38,4.36,2.72,504
61,1.2,Very Good,J,VS2,58.7,60.0,6.93,6.96,4.08,5234
62,0.39,Good,G,IF,63.5,56.0,4.65,4.67,2.96,1213
63,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1310
64,0.25,Premium,E,VVS2,62.5,59.0,4.04,4.02,2.52,740
65,0.7,Ideal,E,VS1,61.3,54.0,5.77,5.83,3.54,2978
66,0.7,Very Good,G,SI1,63.5,61.0,5.64,5.61,3.57,2184
67,1.26,Premium,J,SI1,61.8,58.0,6.91,6.88,4.26,5080
68,0.3,Good,G,VS2,63.5,55.0,4.22,4.25,2.69,526
69,0.53,Very Good,D,SI1,60.0,59.8,5.25,5.26,3.15,1724
70,0.28,Very Good,D,VVS2,62.2,52.0,4.21,4.25,2.63,777
71,1.16,Premium,F,SI2,61.2,61.0,6.77,6.74,4.14,4820
72,0.3,Premium,H,VVS1,62.3,58.0,4.29,4.32,2.68,684
73,0.44,Ideal,I,VS1,61.8,55.0,4.89,4.92,3.03,807
74,1.0,Good,D,SI2,57.8,58.0,6.61,6.55,3.8,4295
75,0.57,Ideal,H,SI1,61.6,60.0,5.33,5.35,3.29,1304
76,0.73,Fair,I,I1,66.1,58.0,5.63,5.5,3.68,1175
77,0.73,Premium,F,I1,59.3,61.0,5.88,5.75,3.46,1207
78,1.02,Premium,D,SI2,60.3,58.0,6.52,6.48,3.92,4718
79,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,403
80,0.81,Ideal,F,SI1,62.3,55.0,5.96,6.0,3.72,3481
81,2.01,Premium,F,SI2,58.4,59.0,8.26,8.24,4.82,13610
82,0.31,Ideal,D,VS2,61.5,56.0,4.41,4.37,2.7,942
83,0.34,Ideal,D,VS2,62.0,55.0,4.45,4.49,2.77,805
84,1.51,Very Good,E,SI1,63.1,58.0,7.28,7.23,4.58,11565
85,0.31,Ideal,H,VS2,61.2,56.0,4.35,4.37,2.67,507
86,0.9,Very Good,F,SI1,62.3,57.0,6.13,6.16,3.83,5122
87,1.03,Premium,E,SI1,61.3,60.0,6.53,6.51,4.0,5101
88,0.31,Premium,H,VVS2,62.3,60.0,4.31,4.36,2.7,625
89,0.31,Premium,H,VS2,62.5,54.0,4.39,4.35,2.73,628
90,2.0,Premium,H,SI1,58.2,60.0,8.34,8.26,4.83,18371
91,0.76,Ideal,E,VS2,61.6,56.0,5.85,5.9,3.62,3864
92,1.61,Ideal,G,VS1,61.8,57.0,7.48,7.51,4.63,17076
93,1.0,Premium,G,VS2,61.6,58.0,6.39,6.43,3.95,5940
