,carat,cut,color,clarity,depth,table,x,y,z,price
0,2.01,Good,G,SI2,63.6,59.0,8.0,7.95,5.07,15977
1,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,7820
2,0.37,Very Good,F,SI1,62.4,59.0,4.56,4.6,2.86,616
3,0.28,Good,F,VS1,58.3,58.0,4.33,4.35,2.53,487
4,1.61,Premium,H,SI1,62.8,58.0,7.47,7.4,4.67,7754
5,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5527
6,1.33,Very Good,I,VS2,62.5,61.0,6.99,7.02,4.38,6203
7,0.36,Premium,E,SI1,62.2,59.0,4.53,4.57,2.83,589
8,0.79,Premium,D,SI1,61.4,59.0,5.89,5.96,3.64,3112
9,0.4,Good,G,VS1,59.6,61.0,4.82,4.85,2.88,952
10,1.38,Premium,J,VS2,60.2,59.0,7.29,7.19,4.36,6175
11,0.51,Very Good,F,VS2,62.9,55.0,5.08,5.12,3.21,1569
12,0.7,Good,G,SI2,60.1,65.0,5.7,5.65,3.41,2268
13,1.02,Very Good,E,SI2,63.0,57.0,6.39,6.44,4.04,4398
14,1.07,Premium,G,VS2,61.9,58.0,6.54,6.55,4.05,6779
15,2.0,Premium,I,VS1,61.1,58.0,8.11,8.08,4.95,17436
16,0.5,Very Good,E,SI2,63.0,57.0,5.01,5.05,3.17,1098
17,0.34,Very Good,F,VS2,61.5,58.2,4.49,4.51,2.77,730
18,1.02,Premium,F,SI1,61.8,59.0,6.45,6.39,3.97,5686
19,0.49,Fair,E,VVS2,65.5,58.0,4.91,4.86,3.2,1705
20,0.82,Ideal,D,VS2,61.9,56.0,5.98,6.03,3.72,4628
21,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,651
22,1.12,Premium,D,SI2,61.2,59.0,6.7,6.66,4.09,4071
23,0.7,Very Good,I,SI1,62.7,56.0,5.64,5.68,3.55,1918
24,0.3,Premium,E,SI2,61.7,61.0,4.31,4.28,2.65,540
25,2.0,Ideal,G,VS2,62.3,57.0,8.06,7.97,4.99,17760
26,0.35,Ideal,E,VVS2,61.0,57.0,4.54,4.58,2.78,849
27,1.26,Premium,H,SI1,62.1,57.0,6.94,6.88,4.29,6435
28,0.26,Very Good,E,VVS2,61.7,61.0,4.08,4.12,2.53,564
29,0.32,Ideal,I,VVS1,62.5,55.0,4.37,4.4,2.74,589
30,0.41,Very Good,J,IF,60.8,56.0,4.83,4.87,2.95,651
31,0.7,Very Good,G,SI1,61.9,56.0,5.68,5.73,3.53,2042
32,0.35,Ideal,G,VS1,62.1,56.0,4.52,4.56,2.82,706
33,1.01,Premium,J,VS2,62.4,60.0,6.45,6.35,3.99,3296
34,0.34,Ideal,H,SI1,61.3,56.0,4.48,4.52,2.76,516
35,0.7,Premium,F,I1,63.0,61.0,5.69,5.55,3.54,1040
36,0.4,Ideal,F,SI2,61.9,57.0,4.71,4.73,2.92,673
37,0.23,Very Good,D,VVS2,61.4,58.0,3.92,3.96,2.42,530
38,0.32,Ideal,E,VVS1,61.6,56.0,4.42,4.41,2.72,1020
39,0.9,Premium,H,VS2,62.1,58.0,6.16,6.2,3.84,3989
40,1.27,Premium,F,VVS2,61.3,60.0,6.99,6.9,4.26,11905
41,0.5,Ideal,D,SI2,61.6,57.0,5.1,5.13,3.15,1239
42,1.21,Premium,H,SI2,62.1,56.0,6.8,6.76,4.21,5082
43,1.53,Very Good,H,VS1,59.5,63.0,7.44,7.51,4.45,9896
44,0.33,Very Good,D,VS1,61.6,53.0,4.45,4.48,2.75,742
45,0.42,Ideal,D,SI1,63.0,55.0,4.79,4.76,3.01,970
46,0.24,Good,E,VS2,63.0,59.0,3.96,4.01,2.51,378
47,1.54,Premium,I,VS1,61.6,58.0,7.39,7.42,4.56,10164
48,0.37,Ideal,J,VS1,62.4,55.0,4.59,4.64,2.88,487
49,0.66,Good,G,VS1,61.6,61.0,5.56,5.63,3.43,2139
50,0.72,Premium,D,VS2,61.0,59.0,5.77,5.74,3.51,2721
51,0.31,Ideal,H,VVS1,61.4,54.0,4.4,4.43,2.71,687
52,2.09,Ideal,I,SI1,61.8,56.0,8.15,8.22,5.06,17114
53,0.91,Premium,H,VS2,62.3,57.0,6.22,6.13,3.85,3963
54,0.45,Good,G,VS1,64.1,58.8,4.79,4.86,3.09,1127
55,0.41,Ideal,G,VS2,62.7,56.0,4.71,4.76,2.97,827
56,0.33,Very Good,H,SI1,63.0,58.0,4.4,4.42,2.78,475
57,1.04,Ideal,F,VS2,61.1,57.0,6.52,6.54,3.99,7508
58,0.23,Very Good,E,VS2,62.5,59.0,3.91,3.96,2.46,373
59,0.37,Ideal,E,VS2,62.0,57.0,4.63,4.6,2.86,1041
60,0.36,Ideal,G,SI1,61.5,54.0,4.6,4.63,2.84,571
61,0.4,Very Good,G,VVS2,60.6,59.0,4.74,4.8,2.89,868
62,0.44,Ideal,H,IF,61.5,56.0,4.89,4.93,3.02,1185
63,0.7,Very Good,D,VVS1,61.5,63.0,5.78,5.64,3.51,3920
64,0.71,Ideal,G,SI2,62.8,57.0,5.68,5.63,3.55,1840
65,0.32,Very Good,D,SI1,60.0,56.0,4.5,4.53,2.71,644
66,0.6,Premium,D,SI1,60.4,60.0,5.44,5.48,3.3,1896
67,1.02,Premium,F,VS1,61.9,58.0,6.5,6.45,4.01,7485
68,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,15840
69,0.33,Premium,H,IF,60.3,59.0,4.49,4.47,2.7,1114
70,0.81,Ideal,I,SI1,62.5,57.0,5.98,5.92,3.72,2439
71,0.34,Fair,E,VVS1,54.0,56.0,4.8,4.76,2.58,1012
72,0.54,Very Good,I,SI2,62.9,57.0,5.18,5.21,3.27,1105
73,0.47,Ideal,G,IF,62.1,54.0,4.99,5.02,3.11,1814
74,0.4,Good,G,VS2,59.6,63.0,4.77,4.81,2.85,816
75,0.44,Good,D,VS2,63.6,56.0,4.81,4.84,3.07,1009
76,2.03,Very Good,E,SI2,63.0,61.0,7.99,8.04,5.05,15690
77,0.59,Very Good,E,SI1,62.9,58.0,5.31,5.34,3.35,1652
78,0.51,Ideal,D,SI1,62.8,56.0,5.09,5.07,3.19,1687
79,2.01,Very Good,J,VS2,63.2,55.0,7.97,8.04,5.07,13596
80,0.4,Good,G,SI1,63.2,58.0,4.61,4.7,2.94,655
81,0.7,Good,E,SI2,63.7,61.0,5.6,5.64,3.58,2192
82,0.52,Very Good,E,VS2,60.3,60.0,5.17,5.21,3.13,1689
83,0.51,Ideal,F,VVS2,61.2,56.0,5.17,5.19,3.17,2093
84,1.53,Premium,H,VS1,60.8,59.0,7.41,7.36,4.49,11413
85,1.21,Ideal,E,VS2,61.8,53.0,6.86,6.9,4.25,10556
86,1.01,Very Good,H,VS2,60.7,58.0,6.47,6.51,3.94,5638
87,0.59,Ideal,E,SI1,62.4,55.0,5.34,5.39,3.35,1664
88,0.56,Ideal,F,SI2,61.9,55.0,5.27,5.31,3.28,1212
89,1.39,Premium,J,VS1,60.8,58.0,7.26,7.21,4.4,7239
90,1.73,Premium,I,SI1,61.2,60.0,7.67,7.65,4.69,10957
91,0.31,Ideal,E,VS2,60.9,57.0,4.34,4.36,2.65,680
92,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64,658
93,2.01,Very Good,F,SI2,60.8,57.0,8.09,8.15,4.94,17244
94,0.53,Very Good,E,SI2,63.2,54.0,5.19,5.16,3.27,1227
95,0.27,Ideal,F,IF,61.8,55.0,4.14,4.21,2.57,760
96,0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,1098
97,0.57,Premium,F,VS2,59.5,60.0,5.44,5.35,3.21,1760
98,2.01,Premium,E,SI2,62.6,58.0,8.01,7.93,4.99,14502
99,0.66,Very Good,D,VVS2,60.7,59.0,5.6,5.67,3.42,4311
100,0.98,Ideal,F,SI1,62.7,55.0,6.37,6.27,3.96,4950
101,1.97,Very Good,H,VS2,62.9,59.0,7.9,8.01,5.0,17377
102,0.31,Ideal,D,SI1,61.8,57.0,4.36,4.32,2.68,732
103,0.91,Premium,D,SI2,58.3,60.0,6.4,6.33,3.71,3511
104,0.57,Ideal,D,SI2,62.3,53.0,5.32,5.34,3.32,1333
105,0.55,Ideal,E,SI1,61.7,57.0,5.23,5.27,3.24,1551
106,0.71,Premium,F,SI2,62.1,60.0,5.7,5.66,3.53,2275
107,0.34,Ideal,I,VS1,62.6,56.0,4.44,4.47,2.79,537
108,0.7,Ideal,I,SI1,61.3,57.0,5.72,5.75,3.52,1790
109,1.16,Ideal,D,VS1,61.2,58.0,6.73,6.76,4.13,10241
110,1.5,Ideal,F,VS2,60.4,57.0,7.43,7.41,4.48,14199
111,0.36,Ideal,F,VS1,61.3,55.0,4.59,4.61,2.82,803
112,1.01,Very Good,E,VS2,61.9,55.0,6.38,6.44,3.97,6666
113,0.38,Ideal,E,VS2,61.5,55.0,4.67,4.7,2.88,813
114,0.3,Ideal,E,VS2,61.4,56.0,4.33,4.36,2.67,621
115,0.36,Ideal,D,VS2,61.5,57.0,4.56,4.58,2.81,852
116,1.0,Premium,G,VS1,62.4,59.0,6.35,6.4,3.98,6606
117,0.73,Premium,F,SI1,61.9,60.0,5.78,5.81,3.59,2504
118,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,10278
119,1.04,Very Good,I,SI2,59.6,57.0,6.6,6.62,3.94,3603
120,0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715
121,0.74,Premium,G,SI2,60.1,58.0,5.89,5.86,3.53,2206
122,1.01,Premium,G,VS2,61.2,58.0,6.49,6.46,3.96,5864
123,2.11,Premium,G,SI2,59.1,59.0,8.33,8.4,4.94,15757
124,0.32,Ideal,I,IF,61.7,55.0,4.4,4.42,2.72,655
125,0.51,Ideal,F,SI2,60.2,55.0,5.19,5.24,3.14,1191
126,0.36,Ideal,D,VS1,61.8,55.0,4.58,4.54,2.82,1002
127,1.01,Very Good,D,SI2,60.8,61.0,6.45,6.5,3.94,4260
128,0.71,Very Good,H,VS1,62.1,55.0,5.71,5.72,3.55,2569
129,0.76,Good,I,SI1,64.1,59.0,5.75,5.73,3.68,2016
130,0.32,Very Good,F,VVS2,63.0,56.0,4.37,4.39,2.76,721
131,0.71,Ideal,I,VS2,62.1,59.0,5.73,5.7,3.55,2315
132,0.35,Ideal,F,VS2,61.9,54.0,4.5,4.54,2.8,706
133,1.51,Premium,H,VS2,62.3,59.0,7.28,7.32,4.55,11435
134,1.01,Very Good,H,SI2,63.4,55.0,6.35,6.29,4.01,3959
135,0.27,Very Good,F,VVS1,61.8,56.0,4.15,4.17,2.57,682
136,0.9,Premium,E,VS1,62.1,59.0,6.15,6.09,3.8,5116
137,0.3,Ideal,H,VVS1,61.9,55.0,4.34,4.32,2.68,878
138,2.03,Fair,F,I1,65.6,56.0,7.89,7.86,5.16,6753
139,0.64,Fair,F,VS2,57.0,62.5,5.67,5.78,3.26,2063
140,0.3,Ideal,H,IF,62.1,55.0,4.3,4.27,2.66,1013
141,1.01,Ideal,F,VS1,60.9,57.0,6.52,6.49,3.96,8077
142,0.3,Very Good,G,VS2,63.5,59.0,4.22,4.17,2.66,644
143,0.62,Ideal,G,IF,60.5,57.0,5.52,5.56,3.35,2868
144,0.39,Ideal,G,VVS2,60.6,57.0,4.72,4.75,2.87,902
145,0.4,Premium,E,SI1,61.0,59.0,4.74,4.71,2.88,882
146,0.61,Ideal,E,VVS2,60.8,56.0,5.5,5.47,3.34,3056
147,0.9,Ideal,I,VS1,61.3,55.0,6.21,6.25,3.82,4093
148,1.3,Ideal,H,VS1,61.3,59.0,6.97,7.03,4.29,8915
149,0.41,Ideal,I,VS2,62.0,57.0,4.74,4.77,2.95,742
150,0.5,Very Good,G,VVS2,62.8,57.0,5.05,5.07,3.18,1764
151,0.42,Ideal,H,VS2,62.9,56.0,4.79,4.72,2.99,992
152,0.32,Ideal,G,VS1,61.2,56.0,4.41,4.45,2.71,645
153,1.34,Very Good,H,VVS2,59.7,60.0,7.19,7.22,4.3,9735
154,0.42,Ideal,G,VS2,61.7,57.0,4.8,4.83,2.97,847
155,0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
156,0.3,Ideal,F,IF,61.3,56.0,4.3,4.34,2.65,873
157,1.63,Ideal,F,VS1,61.6,57.0,7.53,7.61,4.66,18179
158,0.57,Premium,G,VS1,62.4,58.0,5.29,5.32,3.31,1851
159,0.41,Premium,G,SI1,60.3,60.0,4.8,4.76,2.88,923
160,1.12,Very Good,E,VS1,60.8,58.0,6.69,6.73,4.08,8788
161,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,7438
162,0.9,Ideal,D,SI2,62.4,56.0,6.16,6.24,3.87,4078
163,0.32,Ideal,E,VS1,61.1,55.0,4.44,4.46,2.72,825
164,1.22,Ideal,H,SI2,62.3,55.3,6.8,6.87,4.26,5321
165,0.38,Ideal,I,VS1,62.0,54.0,4.67,4.72,2.91,700
166,0.32,Ideal,D,VS2,62.5,57.0,4.39,4.34,2.73,972
167,0.43,Ideal,F,IF,62.0,56.0,4.87,4.84,3.01,1580
168,0.53,Ideal,E,VS2,61.4,56.0,5.24,5.21,3.21,1813
169,0.3,Premium,D,VS1,61.9,58.0,4.28,4.32,2.66,712
170,1.74,Premium,J,SI2,59.7,57.0,7.88,7.8,4.68,8690
171,0.38,Ideal,E,VVS1,62.4,54.0,4.64,4.66,2.9,1160
172,0.51,Premium,D,VS2,61.9,58.0,5.19,5.12,3.19,1818
173,0.75,Good,E,VS1,63.1,55.0,5.8,5.83,3.67,3231
174,0.59,Ideal,F,SI1,62.0,57.0,5.41,5.34,3.33,1561
175,1.31,Premium,J,SI1,60.3,62.0,7.12,7.04,4.26,4490
176,1.61,Very Good,I,SI2,60.9,63.0,7.54,7.5,4.58,7775
177,0.51,Ideal,E,VS2,61.7,53.0,5.18,5.2,3.2,1590
178,0.31,Ideal,H,IF,61.2,56.0,4.36,4.4,2.68,789
179,1.25,Premium,H,VS2,60.4,59.0,6.92,6.96,4.19,7246
180,1.57,Ideal,I,VS2,60.4,58.0,7.55,7.59,4.57,10964
181,0.36,Premium,E,VS1,61.5,59.0,4.57,4.6,2.82,727
182,0.44,Ideal,G,VVS2,61.8,56.0,4.9,4.94,3.04,1081
183,0.51,Very Good,E,VS1,62.8,57.1,5.07,5.1,3.2,1970
184,1.01,Premium,D,SI2,61.5,56.0,6.46,6.39,3.95,4805
185,0.41,Ideal,F,VS2,62.1,56.0,4.79,4.74,2.96,1107
186,0.41,Premium,E,VS1,62.2,57.0,4.78,4.74,2.96,1153
187,2.24,Premium,H,SI2,61.4,57.0,8.43,8.35,5.15,16656
188,0.31,Premium,G,VVS2,60.5,58.0,4.39,4.43,2.67,707
189,1.02,Ideal,J,VS2,61.1,58.0,6.45,6.49,3.95,4397
190,0.39,Premium,F,SI1,61.3,62.0,4.71,4.68,2.88,860
191,0.3,Ideal,D,VS1,61.0,58.0,4.3,4.36,2.64,601
