,0,1,2,3,4,5,6,,,,,,
0,./medical_insurance\insurance_fn_20_train.jsonl,10,201,13392.15621,13392.15621,-0.88120025,0.705213296,,,,,,
1,./medical_insurance\insurance_fn_20_train.jsonl,15,200,12655.3983,12655.3983,-1.511253661,0.666416595,,,,,,
2,./medical_insurance\insurance_fn_20_train.jsonl,25,196,10506.84616,10506.84616,0.1675366,0.553276671,,,,,,
3,./medical_insurance\insurance_fn_40_train.jsonl,10,201,7520.140108,7520.140108,0.550756739,0.396000667,,,,,,
4,./medical_insurance\insurance_fn_40_train.jsonl,15,199,10603.03598,10603.03598,0.220737468,0.5583419,,,,,,
5,./medical_insurance\insurance_fn_40_train.jsonl,25,188,5601.396143,5601.396143,0.76922074,0.294962138,,,,,,
6,./medical_insurance\insurance_fn_60_train.jsonl,10,201,5098.516301,5098.516301,0.833781301,0.268481149,,,,,,
7,./medical_insurance\insurance_fn_60_train.jsonl,15,195,7221.375099,7221.375099,0.660949947,0.380268095,,,,,,
8,./medical_insurance\insurance_fn_60_train.jsonl,25,193,6581.515646,6581.515646,0.730672927,0.34657394,,,,,,
9,./medical_insurance\insurance_fn_80_train.jsonl,10,199,3966.104593,3966.104593,0.893810038,0.208849841,,,,,,
10,./medical_insurance\insurance_fn_80_train.jsonl,15,195,6083.338635,6083.338635,0.749710642,0.320340595,,,,,,
11,./medical_insurance\insurance_fn_80_train.jsonl,25,194,6337.738836,6337.738836,0.755045344,0.333736974,,,,,,
12,./medical_insurance\insurance_fn_full_train.jsonl,10,200,4675.626089,4675.626089,0.855565696,0.246212307,,,,,,
13,./medical_insurance\insurance_fn_full_train.jsonl,15,198,4800.254167,4800.254167,0.860829471,0.252775058,,,,,,
14,./medical_insurance\insurance_fn_full_train.jsonl,25,188,13311.9863,13311.9863,0.429669751,0.700991654,,,,,,
