,M,S,P,V,C
5,E,C,4,3,0.8062545999999999
162,B,C,3,2,4.499986
69,B,D,4,2,0.39375174
59,B,C,4,3,0.9562556999999999
147,D,D,3,2,1.4999949
89,C,C,4,2,0.35625148
50,D,A,6,5,0.431252
163,B,E,3,1,3.6999667
58,E,A,3,2,6.900098299999999
62,E,B,5,4,0.431252
23,A,C,4,2,0.58125305
85,B,E,5,4,0.46875226
84,E,A,6,5,0.58125305
4,D,B,6,5,0.35625148
126,C,C,3,1,1.8999897000000001
41,C,B,4,3,0.88125515
111,C,A,4,1,0.7312541
72,C,B,5,4,0.5437528
66,D,B,3,2,1.6999923
146,B,A,3,1,5.100014
132,E,E,6,5,0.28125095
67,D,C,3,2,1.2999973999999999
135,B,B,6,5,0.5437528
6,C,A,3,2,5.100014
160,D,A,3,2,2.6999795
116,A,C,4,3,0.99375594
119,C,D,3,1,1.4999949
44,B,A,5,3,0.6562536
30,B,E,4,2,0.35625148
139,C,B,3,1,3.8999639999999998
99,B,B,4,3,0.99375594
101,A,E,3,2,4.499986
86,E,E,4,3,0.8437549000000001
38,C,B,6,5,0.5437528
91,C,E,4,3,1.068751
35,E,E,3,2,1.1
31,B,C,3,1,3.8999639999999998
83,C,A,5,4,0.76875436
32,C,E,4,1,0.5437528
57,B,D,4,3,1.0312537
110,A,D,5,4,0.5062525
104,C,C,4,1,0.24375070000000001
19,C,E,4,2,0.20625044
82,C,E,5,4,0.46875226
73,A,E,6,5,0.5062525
103,D,B,5,4,0.39375174
144,A,C,3,1,3.8999639999999998
75,A,E,5,4,0.5062525
17,B,C,5,4,0.46875226
42,C,C,4,3,0.9187554
166,A,A,6,5,0.8062545999999999
9,D,A,4,1,1.0312537
88,B,D,5,4,0.5062525
25,E,C,6,5,0.39375174
12,B,C,4,1,0.28125095
156,E,B,4,3,0.99375594
117,E,D,6,5,0.31875122
87,B,A,4,2,0.8437549000000001
16,D,C,3,1,0.9000011
36,D,E,3,1,0.5000003
2,D,D,4,3,0.35625148
151,E,E,3,1,0.7000006999999999
131,D,C,4,3,0.5437528
145,E,C,3,2,1.4999949
102,B,D,3,1,3.8999639999999998
157,A,B,3,1,4.6999955
124,C,A,3,1,4.299976999999999
115,A,A,4,1,0.8437549000000001
123,C,E,3,1,1.2999973999999999
154,A,D,4,1,0.24375070000000001
39,C,D,4,1,0.20625044
128,A,B,5,4,0.58125305
53,C,D,5,4,0.5062525
152,D,E,3,2,0.9000011
98,B,D,3,2,4.0999675
148,A,C,3,2,4.6999955
21,A,D,4,3,1.1062483
13,E,C,3,1,1.1
47,E,D,4,2,0.431252
96,E,D,3,1,0.9000011
120,B,B,4,1,0.58125305
26,A,A,3,1,5.300023599999999
3,B,A,3,2,5.500033
0,E,E,5,4,0.28125095
15,E,B,3,2,1.8999897000000001
130,E,D,5,4,0.31875122
51,C,B,3,2,4.499986
109,D,A,3,1,2.499982
68,C,A,5,2,0.5437528
143,A,B,4,2,0.8062545999999999
49,D,D,3,1,0.7000006999999999
161,C,E,6,5,0.46875226
133,D,B,4,2,0.35625148
76,E,C,4,1,0.28125095
55,A,E,4,3,1.1437455
33,C,A,6,2,0.5437528
158,D,B,4,3,0.58125305
34,C,C,6,5,0.5062525
24,A,B,6,5,0.58125305
100,B,C,4,2,0.5062525
