,M,S,P,V,C
114,E,A,4,3,1.2187401000000002
21,A,D,4,3,1.1062483
122,C,A,5,1,0.5437528
34,C,C,6,5,0.5062525
74,A,C,4,1,0.35625148
85,B,E,5,4,0.46875226
57,B,D,4,3,1.0312537
52,B,E,3,2,4.6999955
95,A,D,6,5,0.5062525
43,B,D,4,1,0.24375070000000001
51,C,B,3,2,4.499986
33,C,A,6,2,0.5437528
145,E,C,3,2,1.4999949
118,E,A,4,2,0.99375594
69,B,D,4,2,0.39375174
161,C,E,6,5,0.46875226
54,B,B,4,2,0.7312541
157,A,B,3,1,4.6999955
41,C,B,4,3,0.88125515
115,A,A,4,1,0.8437549000000001
127,D,A,5,4,0.431252
81,A,C,6,5,0.5062525
17,B,C,5,4,0.46875226
26,A,A,3,1,5.300023599999999
106,E,B,4,1,1.1812428
152,D,E,3,2,0.9000011
103,D,B,5,4,0.39375174
155,A,D,3,1,4.0999675
129,C,C,3,2,4.299976999999999
105,C,D,4,2,0.24375070000000001
19,C,E,4,2,0.20625044
142,A,E,3,1,3.8999639999999998
147,D,D,3,2,1.4999949
134,A,D,4,2,0.46875226
22,B,C,6,5,0.46875226
59,B,C,4,3,0.9562556999999999
5,E,C,4,3,0.8062545999999999
162,B,C,3,2,4.499986
138,B,E,4,1,0.20625044
20,E,D,4,3,0.9187554
48,C,E,3,2,4.0999675
146,B,A,3,1,5.100014
91,C,E,4,3,1.068751
89,C,C,4,2,0.35625148
119,C,D,3,1,1.4999949
141,B,E,4,3,1.1062483
46,B,A,4,1,0.8062545999999999
139,C,B,3,1,3.8999639999999998
50,D,A,6,5,0.431252
70,B,A,6,5,0.8062545999999999
66,D,B,3,2,1.6999923
29,B,B,3,2,4.299976999999999
65,C,B,4,2,0.5062525
99,B,B,4,3,0.99375594
143,A,B,4,2,0.8062545999999999
16,D,C,3,1,0.9000011
151,E,E,3,1,0.7000006999999999
55,A,E,4,3,1.1437455
165,A,B,3,2,4.499986
18,B,B,5,4,0.5437528
121,C,A,4,2,0.76875436
39,C,D,4,1,0.20625044
92,A,A,4,3,1.1062483
87,B,A,4,2,0.8437549000000001
164,C,D,4,3,0.9562556999999999
13,E,C,3,1,1.1
136,A,B,4,1,0.6187533000000001
97,C,B,4,1,0.431252
60,E,B,4,2,0.58125305
123,C,E,3,1,1.2999973999999999
15,E,B,3,2,1.8999897000000001
107,D,B,3,1,1.2999973999999999
14,C,C,5,4,0.5062525
37,E,C,4,2,0.13124992
44,B,A,5,3,0.6562536
35,E,E,3,2,1.1
125,C,A,4,3,1.0312537
126,C,C,3,1,1.8999897000000001
109,D,A,3,1,2.499982
32,C,E,4,1,0.5437528
53,C,D,5,4,0.5062525
116,A,C,4,3,0.99375594
117,E,D,6,5,0.31875122
133,D,B,4,2,0.35625148
1,B,D,6,5,0.5062525
3,B,A,3,2,5.500033
4,D,B,6,5,0.35625148
137,A,C,5,4,0.5062525
100,B,C,4,2,0.5062525
42,C,C,4,3,0.9187554
47,E,D,4,2,0.431252
84,E,A,6,5,0.58125305
88,B,D,5,4,0.5062525
31,B,C,3,1,3.8999639999999998
148,A,C,3,2,4.6999955
58,E,A,3,2,6.900098299999999
102,B,D,3,1,3.8999639999999998
11,E,C,5,4,0.39375174
135,B,B,6,5,0.5437528
130,E,D,5,4,0.31875122
78,A,D,3,2,4.6999955
68,C,A,5,2,0.5437528
128,A,B,5,4,0.58125305
25,E,C,6,5,0.39375174
62,E,B,5,4,0.431252
153,E,B,3,1,1.4999949
63,C,A,6,1,0.5437528
158,D,B,4,3,0.58125305
82,C,E,5,4,0.46875226
104,C,C,4,1,0.24375070000000001
75,A,E,5,4,0.5062525
24,A,B,6,5,0.58125305
93,C,A,6,3,0.5437528
86,E,E,4,3,0.8437549000000001
8,C,A,6,5,0.76875436
6,C,A,3,2,5.100014
