,Unnamed: 0,M,S,P,V,C
0,114,5,1,4,3,1.2187401000000002
1,21,1,4,4,3,1.1062483
2,122,3,1,5,1,0.5437528
3,34,3,3,6,5,0.5062525
4,74,1,3,4,1,0.35625148
5,85,2,5,5,4,0.46875226
6,57,2,4,4,3,1.0312537
7,52,2,5,3,2,4.6999955
8,95,1,4,6,5,0.5062525
9,43,2,4,4,1,0.2437507
10,51,3,2,3,2,4.499986
11,33,3,1,6,2,0.5437528
12,145,5,3,3,2,1.4999949
13,118,5,1,4,2,0.99375594
14,69,2,4,4,2,0.39375174
15,161,3,5,6,5,0.46875226
16,54,2,2,4,2,0.7312541
17,157,1,2,3,1,4.6999955
18,41,3,2,4,3,0.88125515
19,115,1,1,4,1,0.8437549000000001
20,127,4,1,5,4,0.431252
21,81,1,3,6,5,0.5062525
22,17,2,3,5,4,0.46875226
23,26,1,1,3,1,5.3000235999999985
24,106,5,2,4,1,1.1812428
25,152,4,5,3,2,0.9000011
26,103,4,2,5,4,0.39375174
27,155,1,4,3,1,4.0999675
28,129,3,3,3,2,4.299976999999998
29,105,3,4,4,2,0.2437507
30,19,3,5,4,2,0.20625044
31,142,1,5,3,1,3.899964
32,147,4,4,3,2,1.4999949
33,134,1,4,4,2,0.46875226
34,22,2,3,6,5,0.46875226
35,59,2,3,4,3,0.9562557
36,5,5,3,4,3,0.8062545999999999
37,162,2,3,3,2,4.499986
38,138,2,5,4,1,0.20625044
39,20,5,4,4,3,0.9187554
40,48,3,5,3,2,4.0999675
41,146,2,1,3,1,5.100014
42,91,3,5,4,3,1.068751
43,89,3,3,4,2,0.35625148
44,119,3,4,3,1,1.4999949
45,141,2,5,4,3,1.1062483
46,46,2,1,4,1,0.8062545999999999
47,139,3,2,3,1,3.899964
48,50,4,1,6,5,0.431252
49,70,2,1,6,5,0.8062545999999999
50,66,4,2,3,2,1.6999923
51,29,2,2,3,2,4.299976999999998
52,65,3,2,4,2,0.5062525
53,99,2,2,4,3,0.99375594
54,143,1,2,4,2,0.8062545999999999
55,16,4,3,3,1,0.9000011
56,151,5,5,3,1,0.7000006999999999
57,55,1,5,4,3,1.1437455
58,165,1,2,3,2,4.499986
59,18,2,2,5,4,0.5437528
60,121,3,1,4,2,0.76875436
61,39,3,4,4,1,0.20625044
62,92,1,1,4,3,1.1062483
63,87,2,1,4,2,0.8437549000000001
64,164,3,4,4,3,0.9562557
65,13,5,3,3,1,1.1
66,136,1,2,4,1,0.6187533000000001
67,97,3,2,4,1,0.431252
68,60,5,2,4,2,0.58125305
69,123,3,5,3,1,1.2999974
70,15,5,2,3,2,1.8999897
71,107,4,2,3,1,1.2999974
72,14,3,3,5,4,0.5062525
73,37,5,3,4,2,0.13124992
74,44,2,1,5,3,0.6562536
75,35,5,5,3,2,1.1
76,125,3,1,4,3,1.0312537
77,126,3,3,3,1,1.8999897
78,109,4,1,3,1,2.499982
79,32,3,5,4,1,0.5437528
80,53,3,4,5,4,0.5062525
81,116,1,3,4,3,0.99375594
82,117,5,4,6,5,0.31875122
83,133,4,2,4,2,0.35625148
84,1,2,4,6,5,0.5062525
85,3,2,1,3,2,5.500033
86,4,4,2,6,5,0.35625148
87,137,1,3,5,4,0.5062525
88,100,2,3,4,2,0.5062525
89,42,3,3,4,3,0.9187554
90,47,5,4,4,2,0.431252
91,84,5,1,6,5,0.58125305
92,88,2,4,5,4,0.5062525
93,31,2,3,3,1,3.899964
94,148,1,3,3,2,4.6999955
95,58,5,1,3,2,6.900098299999999
96,102,2,4,3,1,3.899964
97,11,5,3,5,4,0.39375174
98,135,2,2,6,5,0.5437528
99,130,5,4,5,4,0.31875122
100,78,1,4,3,2,4.6999955
101,68,3,1,5,2,0.5437528
102,128,1,2,5,4,0.58125305
103,25,5,3,6,5,0.39375174
104,62,5,2,5,4,0.431252
105,153,5,2,3,1,1.4999949
106,63,3,1,6,1,0.5437528
107,158,4,2,4,3,0.58125305
108,82,3,5,5,4,0.46875226
109,104,3,3,4,1,0.2437507
110,75,1,5,5,4,0.5062525
111,24,1,2,6,5,0.58125305
112,93,3,1,6,3,0.5437528
113,86,5,5,4,3,0.8437549000000001
114,8,3,1,6,5,0.76875436
115,6,3,1,3,2,5.100014
