,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,y
0,0,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14
1,1,MS,F,17,U,GT3,T,0,1,other,at_home,course,father,2,1,0,no,no,no,yes,no,yes,no,no,2,4,4,3,5,5,5,9,9,10
2,2,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,2,4,11,11,13
3,3,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,4,1,1,5,0,10,10,10
4,4,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,4,5,2,3,5,0,14,13,14
5,5,MS,F,16,U,LE3,T,4,1,other,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,1,2,4,2,2,1,8,9,10,10
6,6,MS,F,17,R,GT3,T,2,3,other,other,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,5,5,1,3,3,2,10,11,12
7,7,GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10
8,8,GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,1,8,14,15,16
9,9,MS,F,16,R,GT3,T,2,2,other,services,course,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,2,1,14,13,14
10,10,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15
11,11,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15
12,12,GP,F,17,R,LE3,T,1,1,at_home,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,5,4,15,14,15
13,13,GP,F,17,R,LE3,A,1,4,other,other,course,other,4,1,1,no,yes,no,no,yes,yes,yes,no,5,5,4,1,1,5,14,9,9,8
14,14,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,4,5,2,12,13,13
15,15,GP,F,17,U,LE3,T,1,1,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,2,4,10,11,10,10
16,16,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
17,17,GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,2,1,2,12,12,15
18,18,MS,M,18,R,GT3,T,1,1,other,other,home,mother,2,1,1,no,no,no,yes,yes,no,yes,no,4,4,3,3,4,4,0,8,9,10
19,19,MS,M,16,U,LE3,T,2,1,at_home,services,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,4,3,2,3,4,4,10,8,10
20,20,GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,4,13,14,15
21,21,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
22,22,MS,F,18,U,LE3,T,1,1,other,at_home,reputation,mother,2,2,0,yes,no,no,no,yes,yes,no,no,2,3,5,1,4,3,8,9,8,10
23,23,GP,F,18,U,LE3,T,4,3,other,other,home,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,5,1,2,2,0,13,14,14
24,24,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
25,25,GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,11,12,13
26,26,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16
27,27,MS,F,16,U,GT3,T,3,1,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,1,0,8,6,8
28,28,MS,F,18,U,GT3,T,1,2,other,other,course,father,1,2,1,no,yes,no,yes,yes,yes,yes,yes,3,4,4,2,3,5,9,9,8,8
29,29,MS,M,17,U,GT3,T,3,3,services,services,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,5,5,3,8,7,10,9
30,30,GP,M,17,U,GT3,T,2,2,other,other,home,father,2,1,0,no,no,no,no,yes,no,yes,no,4,4,4,2,3,4,8,8,8,9
31,31,MS,F,16,U,LE3,A,2,2,at_home,other,reputation,mother,2,4,0,no,no,no,yes,no,no,no,yes,1,2,1,1,1,1,4,10,9,11
32,32,MS,M,15,U,LE3,A,2,1,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,5,11,12,13,12
33,33,GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,2,14,15,17
34,34,GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,0,11,9,10
35,35,MS,F,16,R,GT3,T,1,2,other,other,home,father,1,3,0,yes,yes,no,no,no,yes,yes,yes,4,3,4,1,1,3,5,13,14,13
