,dataset,pc_train,context,poly_loss,krr_loss,knn_loss,nn_loss,xg_loss,rf_loss,gp_loss,num_valids,loss,loss_woo,num_o
0,ccpp,60,True,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.18431170381225515,0.21546825598113245,0.7056425624223234,1436,0.2267761866940177,0.2227864941649494,3
1,insurance,60,True,0.4230697454499428,1.3884954514203445,1.000884597752685,0.36738154424304387,0.2548129442158459,0.24303152282445148,1.2509917304695748,201,0.3743770264111031,0.3580391526608606,1
2,insurance,full,True,0.3214318927997254,1.3884954514203445,1.000884597752685,0.3561872124336337,0.24657083358637122,0.24602725068734793,1.220389553533016,201,0.15208979555948365,0.14185976869261688,1
3,insurance,full,False,0.3214318927997254,1.3884954514203445,1.000884597752685,0.3561872124336337,0.2463755226111328,0.24602725068734793,1.220389553533016,201,0.18440996820602953,0.16944596837483225,1
4,servo,full,False,0.9234053148165559,0.9506592179675789,0.8600119042888126,0.8207503044150287,0.2500197451791416,0.25451632160978443,1.0332782520313848,26,0.40189474195487473,0.40189474195487473,0
5,servo,60,True,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.3679780821623685,0.3317654831581497,1.0316978707175941,26,0.5356000989722621,0.5356000989722621,0
6,servo,20,False,4.21018701399389,0.9492862369227179,0.9249721883498525,0.9673302657597593,0.45438727812989255,0.4673518682103012,1.0507624412345782,26,0.812849343948472,0.812849343948472,0
7,insurance,60,False,0.4230697454499428,1.3884954514203445,1.000884597752685,0.36738154424304387,0.2549908205323343,0.24303152282445148,1.2509917304695748,201,0.44642771793339353,0.44642771793339353,0
8,insurance,40,True,0.4567184754220062,1.3884954514203445,1.000884597752685,0.4058418598420848,0.2600686072652657,0.23675045316612095,1.249932724914308,201,0.27871201002726415,0.26593885774882453,1
9,servo,80,True,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.367851154988868,0.3317654831581497,1.0316978707175941,26,0.5577580399398916,0.5577580399398916,0
10,ccpp,60,False,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.1845270244370228,0.21546825598113245,0.7056425624223234,1436,0.2736903873540376,0.21280936778736215,3
11,servo,60,False,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.36812205431725703,0.3317654831581497,1.0316978707175941,26,0.3087111170386149,0.3087111170386149,0
12,ccpp,full,False,0.22349114571235257,21.602584814862936,0.4486772325702558,0.30099437865615897,0.16783629090379032,0.21026808361061203,0.691595947737003,1436,0.20696953484056974,0.19069146086527167,1
13,ccpp,20,True,0.2278140468520752,28.484952880488027,0.6211401379259633,0.34523325379517994,0.218933792900811,0.22952048841239686,0.6589075663081533,1436,0.2471444907154125,0.24566056233411243,1
14,servo,full,True,0.9234053148165559,0.9506592179675789,0.8600119042888126,0.8207503044150287,0.2513287352806798,0.25451632160978443,1.0332782520313848,26,0.3712079227189957,0.3712079227189957,0
15,ccpp,80,True,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.18419013428918316,0.21546825598113245,0.7056425624223234,1436,0.23313589031385976,0.23101785290800872,2
16,ccpp,40,False,0.22710427802436123,26.270975781450346,0.542426600952512,0.3115419028137994,0.1946672487435705,0.21946458874153668,0.6643580321217654,1436,0.2546241808946285,0.23577378588966347,1
17,servo,40,False,1.8691653755578326,0.9504108211940633,0.8600119042888126,0.8448878290566358,0.3860327566809297,0.39507597381425436,1.0344857103238196,26,0.4230971471834408,0.4230971471834408,0
18,servo,20,True,4.21018701399389,0.9492862369227179,0.9249721883498525,0.9673302657597593,0.4542085965431698,0.4673518682103012,1.0507624412345782,26,0.8128464652446383,0.8128464652446383,0
19,ccpp,40,True,0.22710427802436123,26.270975781450346,0.542426600952512,0.3115419028137994,0.19557382638747697,0.21946458874153668,0.6643580321217654,1436,0.24010179910062446,0.24010179910062446,0
20,servo,40,True,1.8691653755578326,0.9504108211940633,0.8600119042888126,0.8448878290566358,0.3862372384351097,0.39507597381425436,1.0344857103238196,26,0.55604768381391,0.55604768381391,0
21,insurance,20,True,1.5806697873514546,1.3918664883082537,0.9846944511071913,0.5135432174375067,0.2963924184393816,0.26172236194187243,1.3187539586201578,201,0.8533248272797955,0.8533248272797955,0
22,insurance,80,True,0.334081178071696,1.3884954514203445,1.000884597752685,0.357074628308762,0.24966071282823402,0.23550056881895554,1.226531700524057,201,0.19460342077463674,0.16769085779090454,1
23,ccpp,20,False,0.2278140468520752,28.484952880488027,0.6211401379259633,0.34523325379517994,0.21891654114801076,0.22952048841239686,0.6589075663081533,1436,0.27873398889389156,0.26028511542438176,1
24,ccpp,full,True,0.22349114571235257,21.602584814862936,0.4486772325702558,0.30099437865615897,0.16778244194825187,0.21026808361061203,0.691595947737003,1436,0.20883459921261294,0.20475349359476952,3
25,insurance,80,False,0.334081178071696,1.3884954514203445,1.000884597752685,0.357074628308762,0.24999385659404946,0.23550056881895554,1.226531700524057,201,0.2922943565873773,0.2834252960978662,1
26,servo,80,False,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.3698500899286633,0.3317654831581497,1.0316978707175941,26,0.8219342302262391,0.8219342302262391,0
27,insurance,40,False,0.4567184754220062,1.3884954514203445,1.000884597752685,0.4058418598420848,0.2601129123532843,0.23675045316612095,1.249932724914308,201,0.6287047667279366,0.6287047667279366,0
28,ccpp,80,False,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.184471859182912,0.21546825598113245,0.7056425624223234,1436,0.24486944395917223,0.2256107692437948,1
29,insurance,20,False,1.5806697873514546,1.3918664883082537,0.9846944511071913,0.5135432174375067,0.2970564336605767,0.26172236194187243,1.3187539586201578,201,0.8954885291396351,0.8954885291396351,0
